Suburb,Regionname,MedianPrice
Briar Hill,Eastern Metropolitan,673750.0
Broadmeadows,Northern Metropolitan,575500.0
Bundoora,Northern Metropolitan,756500.0
Burnside Heights,Western Metropolitan,593000.0
Burwood East,Eastern Metropolitan,1016000.0
Cairnlea,Western Metropolitan,640000.0
Caroline Springs,Western Metropolitan,600000.0
Cheltenham,Southern Metropolitan,1073000.0
Craigieburn,Northern Metropolitan,548000.0
Cranbourne,South-Eastern Metropolitan,572000.0
Croydon,Eastern Metropolitan,860000.0
Dandenong,South-Eastern Metropolitan,583000.0
Dandenong North,South-Eastern Metropolitan,622750.0
Diamond Creek,Northern Victoria,856500.0
Dingley Village,South-Eastern Metropolitan,871000.0
Doncaster East,Eastern Metropolitan,1385000.0
Donvale,Eastern Metropolitan,920000.0
Doreen,Northern Victoria,515250.0
Eltham,Eastern Metropolitan,855000.0
Epping,Northern Metropolitan,560500.0
Forest Hill,Eastern Metropolitan,1005500.0
Frankston,South-Eastern Metropolitan,637000.0
Frankston North,Eastern Victoria,531500.0
Frankston South,South-Eastern Metropolitan,885000.0
Gisborne,Northern Victoria,670000.0
Gladstone Park,Western Metropolitan,656500.0
Greensborough,Northern Metropolitan,816000.0
Hallam,South-Eastern Metropolitan,662500.0
Healesville,Northern Victoria,650000.0
Highett,Southern Metropolitan,1225000.0
Hillside,Western Metropolitan,648000.0
Huntingdale,Southern Metropolitan,1093800.0
Keilor Downs,Western Metropolitan,680000.0
Keilor Lodge,Western Metropolitan,660000.0
Keysborough,South-Eastern Metropolitan,752000.0
Kings Park,Western Metropolitan,530000.0
Lalor,Northern Metropolitan,665500.0
Lower Plenty,Eastern Metropolitan,800000.0
Melton,Western Victoria,412500.0
Mernda,Northern Metropolitan,596000.0
Mill Park,Northern Metropolitan,675000.0
Mitcham,Eastern Metropolitan,965500.0
Montmorency,Eastern Metropolitan,900000.0
Mordialloc,South-Eastern Metropolitan,1197500.0
Mount Waverley,Eastern Metropolitan,1387000.0
Narre Warren,South-Eastern Metropolitan,650000.0
Nunawading,Eastern Metropolitan,1021000.0
Oakleigh East,Southern Metropolitan,1150000.0
Parkdale,South-Eastern Metropolitan,1260000.0
Point Cook,Western Metropolitan,635000.0
Ringwood East,Eastern Metropolitan,855000.0
Rockbank,Western Metropolitan,340000.0
Rowville,South-Eastern Metropolitan,865000.0
Sandringham,Southern Metropolitan,1710000.0
Seaford,South-Eastern Metropolitan,769000.0
Skye,South-Eastern Metropolitan,597849.0
South Morang,Northern Metropolitan,612000.0
Springvale,South-Eastern Metropolitan,770000.0
St Albans,Western Metropolitan,610000.0
Sunbury,Western Metropolitan,496750.0
Tarneit,Western Metropolitan,500500.0
Taylors Hill,Western Metropolitan,605500.0
Taylors Lakes,Western Metropolitan,710000.0
The Basin,Eastern Metropolitan,580600.0
Thomastown,Northern Metropolitan,640000.0
Truganina,Western Metropolitan,451000.0
Tullamarine,Western Metropolitan,586000.0
Vermont,Eastern Metropolitan,1076250.0
Wantirna,Eastern Metropolitan,975500.0
Wantirna South,Eastern Metropolitan,1107500.0
Werribee,Western Metropolitan,490000.0
Westmeadows,Northern Metropolitan,599000.0
Williams Landing,Western Metropolitan,532500.0
Wollert,Northern Metropolitan,525000.0
Wyndham Vale,Western Metropolitan,479000.0
Black Rock,Southern Metropolitan,1147500.0
Blackburn,Eastern Metropolitan,1350000.0
Blackburn North,Eastern Metropolitan,1225000.0
Bonbeach,South-Eastern Metropolitan,942500.0
Carrum,South-Eastern Metropolitan,687500.0
Chelsea,South-Eastern Metropolitan,750000.0
Clayton,South-Eastern Metropolitan,1115000.0
Doveton,South-Eastern Metropolitan,500000.0
Ferntree Gully,Eastern Metropolitan,783050.0
Glen Waverley,Eastern Metropolitan,1292000.0
Greenvale,Northern Metropolitan,770000.0
Heathmont,Eastern Metropolitan,916000.0
Hoppers Crossing,Western Metropolitan,540500.0
McKinnon,Southern Metropolitan,1452500.0
Melton South,Western Victoria,390000.0
Melton West,Northern Victoria,428750.0
Mentone,South-Eastern Metropolitan,892500.0
Mooroolbark,Eastern Victoria,725000.0
Mulgrave,South-Eastern Metropolitan,902000.0
Ringwood,Eastern Metropolitan,920000.0
Roxburgh Park,Northern Metropolitan,490000.0
Seabrook,Western Metropolitan,590000.0
Templestowe,Eastern Metropolitan,1450000.0
Vermont South,Eastern Metropolitan,1250000.0
Warrandyte,Eastern Metropolitan,1200000.0
Watsonia North,Northern Metropolitan,747500.0
Wheelers Hill,South-Eastern Metropolitan,1203000.0
Altona Meadows,Western Metropolitan,685000.0
Blackburn South,Eastern Metropolitan,1190500.0
Carrum Downs,South-Eastern Metropolitan,549250.0
Clayton South,South-Eastern Metropolitan,850000.0
Croydon North,Eastern Metropolitan,835000.0
Langwarrin,Eastern Victoria,607750.0
Noble Park,South-Eastern Metropolitan,668000.0
Notting Hill,Southern Metropolitan,1075000.0
Ringwood North,Eastern Metropolitan,927500.0
Sydenham,Western Metropolitan,620000.0
Albanvale,Western Metropolitan,540750.0
Beaconsfield Upper,Eastern Victoria,675000.0
Chelsea Heights,South-Eastern Metropolitan,728500.0
Dallas,Northern Metropolitan,439750.0
Deer Park,Western Metropolitan,630750.0
Eltham North,Eastern Metropolitan,900000.0
Keilor,Western Metropolitan,840000.0
Meadow Heights,Northern Metropolitan,482000.0
Mount Evelyn,Eastern Victoria,567500.0
North Warrandyte,Eastern Metropolitan,1226000.0
Pakenham,Eastern Victoria,435000.0
Riddells Creek,Northern Victoria,817000.0
Sandhurst,South-Eastern Metropolitan,645000.0
Scoresby,Eastern Metropolitan,956000.0
Silvan,Eastern Victoria,1077500.0
Aspendale,South-Eastern Metropolitan,1150000.0
Chirnside Park,Eastern Victoria,775991.0
Croydon Hills,Eastern Metropolitan,918000.0
Croydon South,Eastern Metropolitan,800000.0
Derrimut,Western Metropolitan,695000.0
Diggers Rest,Western Metropolitan,525000.0
Edithvale,South-Eastern Metropolitan,875000.0
Hampton Park,South-Eastern Metropolitan,591500.0
Knoxfield,Eastern Metropolitan,1055000.0
St Helena,Eastern Metropolitan,897000.0
Upwey,Eastern Victoria,575000.0
Bacchus Marsh,Western Victoria,285000.0
Coolaroo,Northern Metropolitan,458500.0
Cranbourne North,South-Eastern Metropolitan,585000.0
Kilsyth,Eastern Metropolitan,791500.0
Montrose,Eastern Victoria,735000.0
Aspendale Gardens,South-Eastern Metropolitan,875000.0
Bullengarook,Northern Victoria,535000.0
Clarinda,South-Eastern Metropolitan,929650.0
Deepdene,Southern Metropolitan,1195000.0
Delahey,Western Metropolitan,555000.0
Hurstbridge,Northern Victoria,695000.0
Kurunjang,Northern Victoria,353500.0
Wonga Park,Eastern Victoria,900000.0
Endeavour Hills,South-Eastern Metropolitan,630000.0
Officer,Eastern Victoria,559000.0
Waterways,South-Eastern Metropolitan,1248500.0
Ardeer,Western Metropolitan,645000.0
Beaconsfield,Eastern Victoria,603500.0
Springvale South,South-Eastern Metropolitan,750000.0
Yarra Glen,Northern Victoria,620000.0
Brookfield,Western Victoria,456000.0
Emerald,Eastern Victoria,655000.0
Whittlesea,Northern Victoria,601000.0
Burnside,Western Metropolitan,618750.0
Attwood,Northern Metropolitan,640000.0
Wallan,Northern Victoria,366000.0
New Gisborne,Northern Victoria,1355000.0
Plumpton,Western Metropolitan,625500.0
Monbulk,Eastern Victoria,720000.0
