Suburb,NumberSold,RelativeSales,GlobalAverage
Ivanhoe,98,0.3945493531564067,0
Ivanhoe East,25,0.3231078905594314,0
Jacana,25,0.9265658370361533,0
Kealba,19,0.3103696907679655,0
Keilor,9,-0.4653461249740984,0
Keilor Downs,15,-0.4421838344964772,0
Keilor East,121,0.5686883211367786,0
Keilor Lodge,2,-0.4961351264475534,0
Keilor Park,22,0.4853458607274895,0
Kensington,117,0.602056004967299,0
Kew,177,0.370576714275795,0
Kew East,49,0.4256242763624756,0
Keysborough,11,-0.6966914726508914,0
Kilsyth,4,-0.736733543267311,0
Kings Park,5,-0.6570114792039464,0
Kingsbury,13,0.0100770524975303,0
Kingsville,34,0.4465174297115201,0
Knoxfield,4,-0.6916056073268638,0
Kooyong,2,-0.353792874273703,0
Kurunjang,4,-0.7125462109843524,0
Lalor,42,-0.354071286397131,0
Langwarrin,6,-0.752463998284142,0
Lower Plenty,5,-0.5351818356950026,0
Maidstone,94,0.694684863885848,0
Malvern,67,0.2433730413464029,0
Malvern East,117,0.1962573990473829,0
Maribyrnong,96,0.4789759852753052,0
McKinnon,8,-0.5116888800522253,0
Meadow Heights,17,-0.4865836790849774,0
Melbourne,46,-0.5760168164525404,0
Melton,12,-0.5120677535374674,0
Melton South,18,-0.468308749334181,0
Melton West,8,-0.6949974299440884,0
Mentone,26,-0.4315979027922058,0
Mernda,9,-0.674157288047521,0
Middle Park,34,0.35727757004383,0
Mill Park,43,-0.443898989383841,0
Mitcham,30,-0.4182690781752044,0
Monbulk,1,-0.7510124053156992,0
Mont Albert,34,0.3352091312511389,0
Montmorency,17,-0.4180075178956238,0
Montrose,1,-0.7783592789909146,0
Moonee Ponds,149,0.6782592617904268,0
Moorabbin,64,0.7300273718263216,0
Mooroolbark,12,-0.683170314024804,0
Mordialloc,18,-0.3669280684033198,0
Mount Evelyn,2,-0.7633629941730636,0
Mount Waverley,57,-0.4274982367395448,0
Mulgrave,29,-0.4445271230521342,0
Murrumbeena,82,0.4308445609497735,0
Narre Warren,7,-0.7469856395675508,0
New Gisborne,1,-0.7078195005043606,0
Newport,137,0.7240892956073308,0
Niddrie,82,1.0,0
Noble Park,12,-0.7224793764492784,0
North Melbourne,81,0.1318301746304385,0
North Warrandyte,2,-0.6431128583923172,0
Northcote,188,0.3438118676349057,0
Notting Hill,3,-0.5127389728605458,0
Nunawading,20,-0.44955149526168,0
Oak Park,63,0.6717095962784597,0
Oakleigh,47,0.2545712399136757,0
Oakleigh East,11,-0.4225710531937694,0
Oakleigh South,58,0.3059494101790269,0
Officer,1,-0.7819784289349544,0
Ormond,83,0.645949636564379,0
Pakenham,3,-0.7991153302777276,0
Parkdale,24,-0.3863262202607276,0
Parkville,31,0.2022413340857873,0
Pascoe Vale,171,0.6299830279037449,0
Plumpton,1,-0.7538373498481749,0
Point Cook,13,-0.73882526524991,0
Port Melbourne,153,0.3959620912421361,0
Prahran,123,0.3163566422758568,0
Preston,239,0.3371015313360176,0
Princes Hill,5,-0.3643116046917178,0
Reservoir,359,0.3455607805212152,0
Richmond,260,0.382363117755218,0
Riddells Creek,1,-0.753217516101758,0
Ringwood,20,-0.5814775220351464,0
Ringwood East,12,-0.5675011484023756,0
Ringwood North,10,-0.5638454897089173,0
Ripponlea,9,0.090379472644797,0
Rockbank,1,-0.6459847418285284,0
Rosanna,61,0.3750601827080268,0
Rowville,10,-0.736947628464818,0
Roxburgh Park,15,-0.5812475317487223,0
Sandhurst,1,-0.76201836295094,0
Sandringham,25,-0.3099178972178722,0
Scoresby,8,-0.4854459659339212,0
Seabrook,3,-0.6628367908127434,0
Seaford,14,-0.6573748117675442,0
Seaholme,6,-0.1752385526647798,0
Seddon,62,0.7573952460540773,0
Silvan,2,-0.4173435789131868,0
Skye,2,-0.7488834778158544,0
South Kingsville,22,0.6078253920331854,0
South Melbourne,85,0.2420557557360189,0
South Morang,21,-0.5754683731444772,0
South Yarra,202,0.2087419498270706,0
Southbank,41,-0.3715192217085836,0
Spotswood,29,0.6693286752649718,0
Springvale,9,-0.7045146286192018,0
Springvale South,3,-0.7475829511176802,0
St Albans,25,-0.6531013443380744,0
St Helena,3,-0.5170303750900636,0
St Kilda,162,0.1482023839596567,0
Strathmore,63,0.4637094527205818,0
Strathmore Heights,6,0.2929864312691875,0
Sunbury,38,-0.5698964514082392,0
Sunshine,111,0.9348928715746267,0
Sunshine North,68,0.324819381439171,0
Sunshine West,86,0.1700254915813432,0
Surrey Hills,125,0.632737813445682,0
Sydenham,5,-0.6900404506462312,0
Tarneit,10,-0.7254018666587166,0
Taylors Hill,7,-0.6649263243308,0
Taylors Lakes,22,-0.4403589881342864,0
Templestowe,19,-0.5365703973916434,0
Templestowe Lower,92,0.3633690483448761,0
The Basin,4,-0.5998386163819046,0
Thomastown,29,-0.4837174912549114,0
Thornbury,139,0.3041856722659685,0
Toorak,100,0.2217870887848672,0
Travancore,10,0.0242410252521287,0
Truganina,5,-0.7366462344026816,0
Tullamarine,13,-0.456593594410085,0
Upwey,1,-0.7797371184918725,0
Vermont,14,-0.5106920830329328,0
Vermont South,13,-0.53894475531064,0
Viewbank,41,0.282646001109272,0
Wallan,1,-0.7920153577111007,0
Wantirna,12,-0.6138673708730236,0
Wantirna South,22,-0.5326708316071413,0
Warrandyte,5,-0.5880877820438616,0
Waterways,2,-0.5586072044587816,0
Watsonia,52,0.6064384263859913,0
Watsonia North,10,-0.1849958900730898,0
Werribee,50,-0.533901937661552,0
West Footscray,105,0.5352393522465472,0
West Melbourne,31,0.2238382750223288,0
Westmeadows,14,-0.3008735042300148,0
Wheelers Hill,26,-0.495359186816551,0
Whittlesea,1,-0.7729369887930628,0
Williams Landing,2,-0.7239262631307652,0
Williamstown,107,0.3541507788973433,0
Williamstown North,19,0.6683564862247643,0
Windsor,60,0.2146333878805731,0
Wollert,9,-0.5367795833095788,0
Wonga Park,1,-0.7464021453448462,0
Wyndham Vale,4,-0.7457523399200934,0
Yallambie,24,0.3886556128822798,0
Yarra Glen,1,-0.7364980351316,0
Yarraville,164,0.7307553179213717,0
