Suburb,SalesDifference,NumberofSales
Skye,-41.2484076433121,2
South Kingsville,-21.2484076433121,22
South Melbourne,41.7515923566879,85
South Morang,-22.2484076433121,21
South Yarra,158.7515923566879,202
Southbank,-2.248407643312099,41
Spotswood,-14.248407643312099,29
Springvale,-34.2484076433121,9
Springvale South,-40.2484076433121,3
St Albans,-18.2484076433121,25
St Helena,-40.2484076433121,3
St Kilda,118.7515923566879,162
Strathmore,19.7515923566879,63
Strathmore Heights,-37.2484076433121,6
Sunbury,-5.248407643312099,38
Sunshine,67.7515923566879,111
Sunshine North,24.7515923566879,68
Sunshine West,42.7515923566879,86
Surrey Hills,81.7515923566879,125
Sydenham,-38.2484076433121,5
Tarneit,-33.2484076433121,10
Taylors Hill,-36.2484076433121,7
Taylors Lakes,-21.2484076433121,22
Templestowe,-24.2484076433121,19
Templestowe Lower,48.7515923566879,92
The Basin,-39.2484076433121,4
Thomastown,-14.248407643312099,29
Thornbury,95.7515923566879,139
Toorak,56.7515923566879,100
Travancore,-33.2484076433121,10
Truganina,-38.2484076433121,5
Tullamarine,-30.2484076433121,13
Upwey,-42.2484076433121,1
Vermont,-29.2484076433121,14
Vermont South,-30.2484076433121,13
Viewbank,-2.248407643312099,41
Wallan,-42.2484076433121,1
Wantirna,-31.2484076433121,12
Wantirna South,-21.2484076433121,22
Warrandyte,-38.2484076433121,5
Waterways,-41.2484076433121,2
Watsonia,8.751592356687901,52
Watsonia North,-33.2484076433121,10
Werribee,6.751592356687901,50
West Footscray,61.7515923566879,105
West Melbourne,-12.248407643312099,31
Westmeadows,-29.2484076433121,14
Wheelers Hill,-17.2484076433121,26
Whittlesea,-42.2484076433121,1
Williams Landing,-41.2484076433121,2
Williamstown,63.7515923566879,107
Williamstown North,-24.2484076433121,19
Windsor,16.7515923566879,60
Wollert,-34.2484076433121,9
Wonga Park,-42.2484076433121,1
Wyndham Vale,-39.2484076433121,4
Yallambie,-19.2484076433121,24
Yarra Glen,-42.2484076433121,1
Yarraville,120.7515923566879,164
